iter	RMSE
113	0.2616059595
114	0.2615099133
115	0.2612892451
116	0.2611608202
117	0.2609418842
118	0.260841229
119	0.2607391861
120	0.2605878102
121	0.2603931122
122	0.2602535168
123	0.2601691358
124	0.2599933792
125	0.2598656528
126	0.2596669211
127	0.2593859524
128	0.2592487543
129	0.2591683449
130	0.2590596876
131	0.2589538794
132	0.2588626565
133	0.2587784247
134	0.2585812821
135	0.2584067445
136	0.258343906
137	0.2581528981
138	0.2580693374
139	0.2578502481
140	0.2577940353
141	0.257579082
142	0.2574201849
143	0.2573069326
144	0.2571737046
145	0.2570622772
146	0.2569607806
147	0.2568409733
148	0.2566866422
149	0.2564977915
150	0.256400961
151	0.256313816
152	0.2561496631
153	0.2560455975
154	0.2558725377
155	0.2557512386
156	0.2555770296
157	0.2553907421
158	0.2552002094
159	0.2550697346
160	0.2549563003
161	0.2548415345
162	0.2547534596
163	0.2546691264
164	0.2545110422
165	0.2544320366
166	0.2543608676
167	0.2542673381
168	0.2541193052
169	0.2539742563
170	0.2537162789
171	0.2536107682
172	0.2535022735
173	0.2533523508
174	0.2532618749
175	0.2531556327
176	0.2530673292
177	0.2529944634
178	0.252911032
179	0.2528118061
180	0.2527388548
181	0.252671204
182	0.2525535444
183	0.2524531252
184	0.2523436464
185	0.2522479846
186	0.2521357209
187	0.252048908
188	0.2519602498
189	0.2518335384
190	0.2516736784
191	0.2515974825
192	0.2514703412
193	0.2513864614
194	0.251248823
195	0.2511302922
196	0.2509539927
197	0.2508423208
198	0.2507643806
199	0.2506649964
200	0.2505656513
201	0.2504823774
202	0.2503943291
203	0.2503206619
204	0.250230168
205	0.2500995484
206	0.250025073
207	0.2499598548
208	0.2498512139
209	0.2497428626
210	0.249635973
211	0.2495702473
212	0.249491889
213	0.2494193874
214	0.249337385
215	0.2492609927
216	0.2491563717
217	0.2490876916
218	0.2490201483
219	0.2489519299
220	0.248869618
221	0.2487915386
222	0.2487455574
223	0.2486024515
224	0.2485148701
225	0.2484248125
226	0.2483638726
227	0.2482521352
228	0.2481936653
229	0.2481043965
230	0.2480236749
231	0.2479460968
232	0.2478935558
233	0.2478315202
234	0.2477557413
235	0.2476959943
236	0.2475487289
237	0.2474813919
238	0.2473892702
239	0.247321252
240	0.2472407344
241	0.247181275
242	0.2470863354
243	0.2470414053
244	0.2469859136
245	0.2468952118
246	0.2468060368
247	0.246701031
248	0.2465841864
249	0.2465097507
250	0.2464525063
251	0.2463851018
252	0.24632177
253	0.2462534632
254	0.2461325146
255	0.2460676417
256	0.2459927948
257	0.2458877858
258	0.2458081625
259	0.2457532185
260	0.2456521036
261	0.2455838285
262	0.2454817291
263	0.2454351597
264	0.2453742755
265	0.2453346282
266	0.2452329574
267	0.2451658728
268	0.2450961221
269	0.2450231444
270	0.2449598469
271	0.2448814047
272	0.2448073793
273	0.2447404076
274	0.2446632022
275	0.2446032523
276	0.2445481712
277	0.2444666214
278	0.2444098423
279	0.2443670001
280	0.244299121
281	0.2442308074
282	0.2441798487
283	0.2441395202
284	0.2440849765
285	0.244026137
286	0.2439580261
287	0.2438956877
288	0.2438695595
289	0.2437780995
290	0.2436878517
291	0.2436295027
292	0.2435777728
293	0.2435164371
294	0.2434461597
295	0.2433558566
296	0.2432972977
297	0.24323818
298	0.2431797245
299	0.243111172
300	0.243053341
301	0.2429883724
302	0.2429219081
303	0.2428339757
304	0.2427996111
305	0.2427405681
306	0.2426678107
307	0.2425744929
308	0.242523445
309	0.2424957954
310	0.2424422466
311	0.2423628783
312	0.2423052132
313	0.2422763467
314	0.2422169011
315	0.2421583573
316	0.2420826608
317	0.2420329031
318	0.2419741293
319	0.2419399522
320	0.2418829078
321	0.2418289885
322	0.2417979819
323	0.2417563936
324	0.2416967844
325	0.2416335362
326	0.2415935496
327	0.2415285884
328	0.2415010967
329	0.2414427757
330	0.2413972419
331	0.2413341055
332	0.2412845359
333	0.2412311469
334	0.2411729903
335	0.2411344622
336	0.2410970271
337	0.2410405909
338	0.241013297
339	0.2409526223
340	0.2408746142
341	0.2408161274
342	0.2407594862
343	0.2407081582
344	0.2406558377
345	0.2406082435
346	0.2405565472
347	0.2405189613
348	0.2404679779
349	0.240420674
350	0.240355478
351	0.2402760211
352	0.2402072407
353	0.2401606266
354	0.2401061706
355	0.240053368
356	0.2399878189
357	0.2398932487
358	0.2398433128
359	0.239798972
360	0.2397537124
361	0.2397128614
362	0.2396726638
363	0.239628927
364	0.2395804636
365	0.2395408867
366	0.2395087997
367	0.2394629653
368	0.2394298915
369	0.2393936832
370	0.2393592105
371	0.2393291474
372	0.2392608809
373	0.2392121964
374	0.2391312951
375	0.2390994221
376	0.2390632021
377	0.2390280138
378	0.2389846396
379	0.238918356
380	0.238877357
381	0.2388143285
382	0.2387558404
383	0.2387253648
384	0.2386512266
385	0.2386220849
386	0.2385867315
387	0.238544492
388	0.2384926219
389	0.2384345944
390	0.2383632597
391	0.238337213
392	0.2382872556
393	0.2382350558
394	0.2381776203
395	0.2381443342
396	0.2380900022
397	0.2380435289
398	0.2379937392
399	0.237935262
400	0.2378864305
401	0.2378296214
402	0.2377673477
403	0.2376874643
404	0.2376556643
405	0.2376310389
406	0.2375559099
407	0.2375081238
408	0.2374717478
409	0.237442123
410	0.2373927784
411	0.2373636695
412	0.2373097399
413	0.2372731841
414	0.2372302294
415	0.2371760203
416	0.2371230051
417	0.237092755
418	0.2370568168
419	0.237014399
420	0.2369736968
421	0.236909538
422	0.2368796869
423	0.2368455823
424	0.2368098095
425	0.2367694786
426	0.2367284784
427	0.2366584631
428	0.2366079334
429	0.2365712076
430	0.2365281982
431	0.2364710181
432	0.2364433973
433	0.2364136472
434	0.2363713073
435	0.236329528
436	0.2362530009
437	0.2361939912
438	0.2361512629
439	0.2361150412
440	0.2360629908
441	0.2360389239
442	0.2359779073
443	0.2359338039
444	0.2358964855
445	0.2358697214
446	0.2358317618
447	0.2357846399
448	0.2357457225
449	0.2357138297
450	0.235650382
451	0.2355959355
452	0.2355616587
453	0.2355359942
454	0.2354742062
455	0.2354431521
456	0.2353863588
457	0.2353178625
458	0.235260981
459	0.2352127198
460	0.2351737114
461	0.2351344571
462	0.2350911442
463	0.2350444602
464	0.2350174672
465	0.2349682543
466	0.2349221819
467	0.2348849997
468	0.2348472461
469	0.2348054651
470	0.2347571422
471	0.2347199768
472	0.2346992805
473	0.2346677426
474	0.2346186265
475	0.234578929
476	0.2345300161
477	0.234475373
478	0.2344533486
479	0.2344075486
480	0.2343401201
481	0.2342831897
482	0.2342166427
483	0.2341754594
484	0.2341428908
485	0.2340947845
486	0.234053489
487	0.2340252543
488	0.2339817372
489	0.2339335831
490	0.2338715004
491	0.2338466612
492	0.2338070763
493	0.2337711063
494	0.2337350913
495	0.2336909381
496	0.2336369384
497	0.2335798068
498	0.2335232448
499	0.2334984136
500	0.2334575984
501	0.2334206585
502	0.2333807623
503	0.2333394498
504	0.2332940284
505	0.2332580068
506	0.2332185749
507	0.2331730786
508	0.2331552412
509	0.2330986424
510	0.2330474012
511	0.2330204209
512	0.2329762821
513	0.2329471484
514	0.2329137887
515	0.232883618
516	0.2328523927
517	0.2328113912
518	0.2327724026
519	0.2327168955
520	0.2326987895
521	0.2326469084
522	0.2326154383
523	0.2325689508
524	0.2325178391
525	0.232471045
526	0.2324139147
527	0.2323863199
528	0.2323497595
529	0.2323245497
530	0.2322890381
531	0.2322697274
532	0.2322167504
533	0.2321574612
534	0.2320919761
535	0.2320502549
536	0.2320279269
537	0.231999204
538	0.2319568996
539	0.2319294749
540	0.2318781461
541	0.2318316959
542	0.2317965258
543	0.2317531489
544	0.231719098
545	0.2316719952
546	0.2316415123
547	0.2316111115
548	0.2315770216
549	0.2315524275
550	0.2315136938
551	0.2314730628
552	0.2314284328
553	0.231383497
554	0.2313320027
555	0.2312996322
556	0.2312357255
557	0.2311833435
558	0.2311403604
559	0.2311182144
560	0.2310746859
561	0.2310345137
562	0.2310058777
563	0.2309640935
564	0.230910954
565	0.2308561222
566	0.2308146987
567	0.2307929512
568	0.2307669107
569	0.2307247946
570	0.2306939299
571	0.2306372996
572	0.2305783722
573	0.2305218921
574	0.230465927
575	0.230446994
576	0.2303880156
577	0.2303291039
578	0.2302803972
579	0.2302310456
580	0.230200332
581	0.2301609868
582	0.2301129813
583	0.230070997
584	0.2300466841
585	0.2300246515
586	0.2299707205
587	0.2299183362
588	0.2298905682
589	0.2298583696
590	0.229825595
591	0.2297945613
592	0.2297418836
593	0.229698195
594	0.2296599865
595	0.2296320098
596	0.2296123229
597	0.2295682715
598	0.229554599
599	0.2295274234
600	0.2294886969
601	0.2294464025
602	0.229418813
603	0.2293920037
604	0.229367757
605	0.2293328316
606	0.2292911527
607	0.2292581926
608	0.2292268899
609	0.2291815053
610	0.2291408951
611	0.2290968418
612	0.2290578251
613	0.2290337491
614	0.2289915482
615	0.2289584555
616	0.2289254812
617	0.2288838611
618	0.228859115
619	0.2288329018
620	0.2288071637
621	0.228775099
622	0.2287436217
623	0.2287123102
624	0.2286684484
625	0.2286284799
626	0.2285902617
627	0.2285537551
628	0.2285209737
629	0.2284864308
630	0.2284596161
631	0.22842737
632	0.2283755168
633	0.2283397595
634	0.2283064977
635	0.228266265
636	0.228245846
637	0.2282115763
638	0.2281728555
639	0.2281492712
640	0.2280995911
641	0.228084541
642	0.2280571836
643	0.2280183388
644	0.2279863508
645	0.2279428815
646	0.2279142518
647	0.2278912873
648	0.2278506679
649	0.2277897139
650	0.2277519541
651	0.2277160383
652	0.2276831858
653	0.2276230665
654	0.2275828423
655	0.2275621045
656	0.2275266713
657	0.2275104618
658	0.2274894787
659	0.2274363038
660	0.2274030954
661	0.2273718461
662	0.2273394371
663	0.2272843337
664	0.2272446355
665	0.2272108633
666	0.2271745643
667	0.2271441613
668	0.2271162843
669	0.2270781369
670	0.2270350344
671	0.2270041316
672	0.2269661951
673	0.2269312821
674	0.2269007341
675	0.2268692531
676	0.2268497598
677	0.2268146274
678	0.2267633065
679	0.2267314882
680	0.2267042118
681	0.2266815182
682	0.2266577573
683	0.2266249369
684	0.2265898627
685	0.2265521317
686	0.2265114302
687	0.2264724608
688	0.2264524752
689	0.2264215984
690	0.2263972016
691	0.2263615942
692	0.2263241284
693	0.226290618
694	0.2262766829
695	0.2262567173
696	0.2262094372
697	0.2261758936
698	0.2261522302
699	0.2261139901
700	0.2260718577
701	0.2260424582
702	0.2260121148
703	0.2259896157
704	0.2259603642
705	0.2259342314
706	0.2258974655
707	0.2258750116
708	0.2258544373
709	0.2258280779
710	0.2257853557
711	0.22574275
712	0.225716074
713	0.2256935221
714	0.2256684621
715	0.2256295929
716	0.2256077533
717	0.2255783149
718	0.2255539904
719	0.2255082274
720	0.2254655762
721	0.225431056
722	0.2253966995
723	0.2253584121
724	0.225319265
725	0.2252915907
726	0.2252683837
727	0.2252278892
728	0.2251854756
729	0.22516127
730	0.2251256595
731	0.2250975268
732	0.2250801817
733	0.2250434968
734	0.2250226379
735	0.2249615121
736	0.2249202886
737	0.2248855022
738	0.2248576946
739	0.2248330801
740	0.2248036438
741	0.2247666954
742	0.2247438329
743	0.2247096944
744	0.2246841126
745	0.2246402377
746	0.2246171898
747	0.2245851441
748	0.2245316544
749	0.224476211
750	0.2244366318
751	0.2243910095
752	0.224363191
753	0.2243389782
754	0.2243135699
755	0.2242921414
756	0.2242697566
757	0.224245698
758	0.2242246948
759	0.2241902775
760	0.2241568458
761	0.2241160817
762	0.2240820958
763	0.2240518414
764	0.2240199019
765	0.2239979097
766	0.2239660883
767	0.2239268946
768	0.2238934431
769	0.2238642561
770	0.2238420935
771	0.2238130033
772	0.2237830048
773	0.2237488959
774	0.2237032477
775	0.2236724068
776	0.2236438315
777	0.2236251878
778	0.2235994599
779	0.223554496
780	0.2235319255
781	0.2234997171
782	0.2234721979
783	0.2234371346
784	0.2234025278
785	0.2233768936
786	0.2233524027
787	0.223324719
788	0.2232995309
789	0.2232737881
790	0.2232260312
791	0.2231905948
792	0.2231642457
793	0.2231383359
794	0.2231001739
795	0.2230796597
796	0.2230445402
797	0.2230163201
798	0.22299946
799	0.2229626979
800	0.2229135023
801	0.2228824193
802	0.2228559078
803	0.2228347063
804	0.2228047839
805	0.2227815773
806	0.222743774
807	0.2227191612
808	0.2226963773
809	0.2226657307
