Model,Features,Runtime (min),R² Score (Train),MAE (Train),RMSE (Train),R² Score (CV),MAE (CV),RMSE (CV),R² Score (Test),MAE (Test),RMSE (Test)
CatBoost,Only Apartments,0.262,0.8333891285237196,41109.40884127789,60289.42365244179,0.7821266855085504,46833.41155301865,68943.20746255279,0.7710869504283167,47729.70514865481,71189.33739042246
CatBoost,All properties,0.353,0.7852118126952868,53439.99849698178,76330.52753885406,0.7456574662619017,57958.31194403118,83062.034459526,0.7451292545866174,58545.74556690401,84004.3294046303
CatBoost,Only Houses,0.287,0.7745912290150799,58353.244404581375,81355.32945188816,0.7136009207856457,65662.69983866937,91703.60553066432,0.7178501809327301,65410.99272242405,91773.61602041536
